t,pose_x,pose_y,pose_yaw,goal_x,goal_y,goal_active,goal_status,plan_id,plan_nearest_error_m,raw_obstacle_points,dynamic_obstacle_points,dynamic_tracks,dynamic_predicted_points,dynamic_max_speed_mps,safety_stop,cmd_vx,cmd_wz,left_thrust_n,right_thrust_n
3.000,-0.1949,0.2371,-0.00132,,,0,IDLE code=0,0,,3085,0,0,0,0.000,0,,,,
3.358,-0.1959,0.2368,-0.00220,,,0,IDLE code=0,0,,2870,0,0,0,0.000,0,,,,
3.400,-0.1989,0.2478,-0.00331,,,0,IDLE code=0; status_seq=1,0,,2870,0,0,0,0.000,0,,,,
3.600,-0.2008,0.2505,0.00062,,,0,IDLE code=0; status_seq=1,0,,2870,0,0,0,0.000,0,,,,
3.800,-0.2008,0.2505,0.00062,,,0,IDLE code=0; status_seq=1,0,,2870,0,0,0,0.000,0,,,,
4.001,-0.2239,0.2757,0.00123,,,0,IDLE code=0; status_seq=1,0,,2870,0,0,0,0.000,0,,,,
4.200,-0.2388,0.2887,0.00183,,,0,IDLE code=0; status_seq=1,0,,2870,0,0,0,0.000,0,,,,
4.401,-0.2466,0.2951,0.00206,,,0,IDLE code=0; status_seq=1,0,,2870,0,0,0,0.000,0,,,,
4.600,-0.2503,0.2942,-0.00499,,,0,IDLE code=0; status_seq=1,0,,3026,0,0,0,0.000,0,,,,
4.800,-0.2561,0.2998,0.00239,,,0,IDLE code=0; status_seq=1,0,,3026,0,0,0,0.000,0,,,,
5.001,-0.2629,0.2977,-0.00414,,,0,IDLE code=0; status_seq=1,0,,3026,0,0,0,0.000,0,,,,
5.200,-0.2679,0.3023,0.00186,,,0,IDLE code=0; status_seq=1,0,,3026,0,0,0,0.000,0,,,,
5.401,-0.2754,0.2992,0.00187,,,0,IDLE code=0; status_seq=1,0,,3026,0,0,0,0.000,0,,,,
5.600,-0.2795,0.2948,0.00061,,,0,IDLE code=0; status_seq=1,0,,3026,0,0,0,0.000,0,,,,
5.800,-0.2794,0.2904,0.00081,,,0,IDLE code=0; status_seq=1,0,,3081,0,0,0,0.000,0,,,,
6.001,-0.2800,0.2858,-0.00142,,,0,IDLE code=0; status_seq=1,0,,3081,0,0,0,0.000,0,,,,
6.200,-0.2783,0.2814,0.00075,,,0,IDLE code=0; status_seq=1,0,,3081,0,0,0,0.000,0,,,,
6.400,-0.2783,0.2814,0.00075,,,0,IDLE code=0; status_seq=1,0,,3081,0,0,0,0.000,0,,,,
6.601,-0.2614,0.2600,0.00002,,,0,IDLE code=0; status_seq=1,0,,3081,0,0,0,0.000,0,,,,
6.800,-0.2600,0.2597,0.00019,,,0,IDLE code=0; status_seq=1,0,,3144,0,0,0,0.000,0,,,,
7.001,-0.2423,0.2439,-0.00035,,,0,IDLE code=0; status_seq=1,0,,3144,0,0,0,0.000,0,,,,
7.200,-0.2291,0.2337,-0.00017,,,0,IDLE code=0; status_seq=1,0,,3144,0,0,0,0.000,0,,,,
7.400,-0.2197,0.2266,-0.00044,,,0,IDLE code=0; status_seq=1,0,,3144,0,0,0,0.000,0,,,,
7.600,-0.2125,0.2228,-0.00028,,,0,IDLE code=0; status_seq=1,0,,3144,0,0,0,0.000,0,,,,
7.800,-0.2125,0.2228,-0.00028,,,0,IDLE code=0; status_seq=1,0,,2861,0,0,0,0.000,0,,,,
8.000,-0.2093,0.2256,-0.00089,,,0,IDLE code=0; status_seq=1,0,,2861,0,0,0,0.000,0,,,,
