t,pose_x,pose_y,pose_yaw,goal_x,goal_y,goal_active,goal_status,plan_id,plan_nearest_error_m,raw_obstacle_points,dynamic_obstacle_points,dynamic_tracks,dynamic_predicted_points,dynamic_max_speed_mps,safety_stop,cmd_vx,cmd_wz,left_thrust_n,right_thrust_n
2.400,16.2935,2.5374,-0.30074,,,0,IDLE code=0,0,,0,0,0,0,0.000,0,,,0.000,0.000
2.600,16.2935,2.5374,-0.30074,,,0,SUCCEEDED code=4; status_seq=4,0,,0,0,0,0,0.000,0,,,0.000,0.000
2.800,15.9393,2.5220,-0.27384,,,0,SUCCEEDED code=4; status_seq=4,0,,0,0,0,0,0.000,0,,,0.000,0.000
3.000,16.2116,2.5237,-0.28964,,,0,SUCCEEDED code=4; status_seq=4,0,,0,0,0,0,0.000,0,,,0.000,0.000
3.200,16.1837,2.3338,-0.30234,,,0,SUCCEEDED code=4; status_seq=4,0,,815,0,0,0,0.000,0,,,0.000,0.000
3.400,16.1839,2.3323,-0.29760,,,0,SUCCEEDED code=4; status_seq=4,0,,815,0,0,0,0.000,0,,,0.000,0.000
3.601,16.1554,2.2268,-0.33833,,,0,SUCCEEDED code=4; status_seq=4,0,,815,0,0,0,0.000,0,,,0.000,0.000
3.801,16.1501,2.1743,-0.33364,,,0,SUCCEEDED code=4; status_seq=4,0,,815,0,0,0,0.000,0,,,0.000,0.000
4.000,16.1435,2.1015,-0.32325,,,0,SUCCEEDED code=4; status_seq=4,0,,815,0,0,0,0.000,0,,,0.000,0.000
4.201,16.1439,2.1007,-0.32509,,,0,SUCCEEDED code=4; status_seq=4,0,,815,0,0,0,0.000,0,,,0.000,0.000
4.400,16.1439,2.1007,-0.32509,,,0,SUCCEEDED code=4; status_seq=4,0,,815,0,0,0,0.000,0,,,0.000,0.000
4.600,16.1439,2.1007,-0.32509,,,0,SUCCEEDED code=4; status_seq=4,0,,813,0,0,0,0.000,0,,,0.000,0.000
4.800,16.1439,2.1007,-0.32509,,,0,SUCCEEDED code=4; status_seq=4,0,,813,0,0,0,0.000,0,,,0.000,0.000
5.000,16.1974,1.6342,-0.32468,,,0,SUCCEEDED code=4; status_seq=4,0,,813,0,0,0,0.000,0,,,0.000,0.000
5.200,16.2113,1.6652,-0.29312,,,0,SUCCEEDED code=4; status_seq=4,0,,813,0,0,0,0.000,0,,,0.000,0.000
5.401,16.2113,1.6652,-0.29312,,,0,SUCCEEDED code=4; status_seq=4,0,,813,0,0,0,0.000,0,,,0.000,0.000
5.600,16.3091,1.5280,-0.28754,,,0,SUCCEEDED code=4; status_seq=4,0,,813,0,0,0,0.000,0,,,0.000,0.000
5.801,16.3492,1.4615,-0.31044,,,0,SUCCEEDED code=4; status_seq=4,0,,866,0,0,0,0.000,0,,,0.000,0.000
6.000,16.3894,1.4384,-0.28600,,,0,SUCCEEDED code=4; status_seq=4,0,,866,0,0,0,0.000,0,,,0.000,0.000
6.201,16.4332,1.3949,-0.27008,,,0,SUCCEEDED code=4; status_seq=4,0,,866,0,0,0,0.000,0,,,0.000,0.000
6.400,16.4782,1.3604,-0.21852,,,0,SUCCEEDED code=4; status_seq=4,0,,866,0,0,0,0.000,0,,,0.000,0.000
6.601,16.4782,1.3605,-0.21846,24.0000,0.0000,1,ACCEPTED code=1; Nav2 goal accepted; status_seq=6,2,0.0000,866,0,0,0,0.000,0,,,0.000,0.000
6.800,16.4782,1.3605,-0.21846,24.0000,0.0000,1,ACCEPTED code=1; Nav2 goal accepted; status_seq=6,2,0.0041,991,0,0,0,0.000,0,0.2000,0.0054,7.058,11.590
7.001,16.6083,1.2440,-0.19092,24.0000,0.0000,1,ACCEPTED code=1; Nav2 goal accepted; status_seq=6,2,0.1825,991,0,0,0,0.000,0,0.4000,0.0045,24.928,28.720
7.200,16.6083,1.2440,-0.19092,24.0000,0.0000,1,ACCEPTED code=1; Nav2 goal accepted; status_seq=6,2,0.1800,991,0,0,0,0.000,0,0.6000,0.0031,48.811,51.421
7.400,16.6083,1.2440,-0.19092,24.0000,0.0000,1,ACCEPTED code=1; Nav2 goal accepted; status_seq=6,2,0.1800,991,0,0,0,0.000,0,0.6000,0.0031,55.539,58.149
7.602,16.6083,1.2440,-0.19092,24.0000,0.0000,1,ACCEPTED code=1; Nav2 goal accepted; status_seq=6,2,0.1800,991,0,0,0,0.000,0,0.6000,0.0031,55.539,58.149
