2026-09-01T22:14:56+08:00 fresh=ACCEPTED code=1; Nav2 goal accepted; status_seq=3
2026-09-01T22:15:37+08:00 ACCEPTED code=1; Nav2 goal accepted; status_seq=3
2026-09-01T22:15:44+08:00 ACCEPTED code=1; Nav2 goal accepted; status_seq=3
2026-09-01T22:15:49+08:00 ACCEPTED code=1; Nav2 goal accepted; status_seq=3
2026-09-01T22:15:55+08:00 ACCEPTED code=1; Nav2 goal accepted; status_seq=3
2026-09-01T22:16:01+08:00 ACCEPTED code=1; Nav2 goal accepted; status_seq=3
2026-09-01T22:16:07+08:00 ACCEPTED code=1; Nav2 goal accepted; status_seq=3
2026-09-01T22:16:13+08:00 ACCEPTED code=1; Nav2 goal accepted; status_seq=3
2026-09-01T22:16:19+08:00 ACCEPTED code=1; Nav2 goal accepted; status_seq=3
2026-09-01T22:16:24+08:00 ACCEPTED code=1; Nav2 goal accepted; status_seq=3
2026-09-01T22:16:28+08:00 ACCEPTED code=1; Nav2 goal accepted; status_seq=3
2026-09-01T22:16:34+08:00 ACCEPTED code=1; Nav2 goal accepted; status_seq=3
2026-09-01T22:16:40+08:00 ACCEPTED code=1; Nav2 goal accepted; status_seq=3
2026-09-01T22:16:46+08:00 ACCEPTED code=1; Nav2 goal accepted; status_seq=3
2026-09-01T22:16:52+08:00 ACCEPTED code=1; Nav2 goal accepted; status_seq=3
2026-09-01T22:16:58+08:00 ACCEPTED code=1; Nav2 goal accepted; status_seq=3
2026-09-01T22:17:04+08:00 ACCEPTED code=1; Nav2 goal accepted; status_seq=3
2026-09-01T22:17:10+08:00 ACCEPTED code=1; Nav2 goal accepted; status_seq=3
2026-09-01T22:17:15+08:00 ABORTED code=6; status_seq=4
