2026-09-02T10:23:56+08:00 fresh=ACCEPTED code=1; Nav2 goal accepted; status_seq=3
2026-09-02T10:24:21+08:00 ACCEPTED code=1; Nav2 goal accepted; status_seq=3
2026-09-02T10:24:27+08:00 ACCEPTED code=1; Nav2 goal accepted; status_seq=3
2026-09-02T10:24:33+08:00 ACCEPTED code=1; Nav2 goal accepted; status_seq=3
2026-09-02T10:24:39+08:00 ACCEPTED code=1; Nav2 goal accepted; status_seq=3
2026-09-02T10:24:45+08:00 ACCEPTED code=1; Nav2 goal accepted; status_seq=3
2026-09-02T10:24:51+08:00 ACCEPTED code=1; Nav2 goal accepted; status_seq=3
2026-09-02T10:24:56+08:00 ACCEPTED code=1; Nav2 goal accepted; status_seq=3
2026-09-02T10:25:00+08:00 ACCEPTED code=1; Nav2 goal accepted; status_seq=3
2026-09-02T10:25:06+08:00 ACCEPTED code=1; Nav2 goal accepted; status_seq=3
2026-09-02T10:25:12+08:00 ACCEPTED code=1; Nav2 goal accepted; status_seq=3
2026-09-02T10:25:18+08:00 ACCEPTED code=1; Nav2 goal accepted; status_seq=3
2026-09-02T10:25:24+08:00 ACCEPTED code=1; Nav2 goal accepted; status_seq=3
2026-09-02T10:25:30+08:00 ACCEPTED code=1; Nav2 goal accepted; status_seq=3
2026-09-02T10:25:37+08:00 ACCEPTED code=1; Nav2 goal accepted; status_seq=3
2026-09-02T10:25:42+08:00 SUCCEEDED code=4; status_seq=4
